place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases
Sân Mây Đà Lạt,cafe,29,923127,21568292,789800,50xu | 199k/ng,https://www.tiktok.com/@review.lt7/video/7603371406423887125,23,3369.96,Săn Mây Đà Lạt
Suối Bình Yên,thiên nhiên,3,318000,9785200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,3,1326.52,Cơm Lam Gà Nướng (Suối Bình Yên)
Café Mây,cafe,6,228304,7522155,51900,,https://www.tiktok.com/@spotly.asia/video/7254176332165287170,5,1040.52,Cà phê Đà Lạt | Cafe Sân Mây | Cà phê mây Đà Lạt | Cafe treo trên sườn đồi
Quán Cà Phê Mây,cafe,8,103679,5272161,252100,,https://www.tiktok.com/@dao_duy_phuong/video/7590979517661940999,5,710.9,
Happy Hill,địa điểm checkin,2,140300,5400000,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7569189293630016786,2,700.3,Happy Hill Dalat
Lang Ben Pho Homestay,homestay,1,128000,5400000,35000,,https://www.tiktok.com/@langbenphohomestay/video/7550132232485195015,1,678.0,
Miền Du Mục,cafe,3,326735,2217100,146700,"100,000 VND ($3.80)",https://www.tiktok.com/@ericgoesto/video/7523077765306895646,3,578.45,
Bánh Tráng Nướng Đà Lạt,chợ quán,4,169064,3083500,87800,,https://www.tiktok.com/@nhienthichan/video/7042878105987468546,2,517.41,
Dom Dom House Dalat,homestay,1,68600,4100000,19500,,https://www.tiktok.com/@domdomhousedalat/video/7502706387995102485,1,488.6,
Nha Ben Rung,cafe,1,258700,1600000,216100,,https://www.tiktok.com/@tiemcaphenhabenrung/video/7493504577296223496,1,428.7,
Thác Datanla,thiên nhiên,14,31972,1803476,789800,170k 1 người,https://www.tiktok.com/@tinhdidaydido.travelvlog/video/7602245369891704084,14,352.32,
Cơm niêu,chợ quán,1,70100,2700000,9135,59K,https://www.tiktok.com/@tiemcomnieunhala/video/7344170952231570708,1,350.1,
Tiệm cà phê Miền Du Mục,cafe,2,92400,2307600,146700,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7571609207460482322,1,343.16,Miendumuc
Quán cafe Đà Lạt,cafe,1,91400,2400000,789700,,https://www.tiktok.com/@nhandian/video/7164729843039472922,0,341.4,
Datanla,chợ quán,7,77099,1941240,229100,,https://www.tiktok.com/@huevui98/video/7597422283459792136,7,341.22,Datanla Falls | Datanla New Alpine Coaster | Datanla Adventure Activities | Datanla Waterfall | Cà Tám Đà Lạt
Cau Gò Binh Minh,thiên nhiên,1,64400,2600000,33100,,https://www.tiktok.com/@sanmaycaugo_binhminh/video/7509742123164470546,1,334.4,
Happy Hill Đà Lạt,địa điểm checkin,9,55690,1745287,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7638534135786654997,9,320.22,
Thác Đá An Lạc,thiên nhiên,1,91100,2000000,3811,,https://www.tiktok.com/@empekhavy/video/7614415503121075463,1,301.1,
Silk Oil,khách sạn,1,137300,1500000,790200,,https://www.tiktok.com/@_trinhhavi_/video/7574400141726125330,1,297.3,
Quán Cafe cạnh bến xe Liên Tỉnh Đà Lạt,cafe,1,81000,1700000,268000,,https://www.tiktok.com/@dicungmuadl/video/7502732506345557255,1,261.0,
Lang Farm Center,địa điểm checkin,1,38600,2100000,242500,,https://www.tiktok.com/@du_lich_dalat/video/7508576445141208338,1,258.6,
New Light Coffee,cafe,1,58100,1800000,9934,,https://www.tiktok.com/@new_light_coffee/video/7505778560313920785,1,248.1,
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242500,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,1,239.5,
Thác Đa Tán,thiên nhiên,2,78395,1341900,721,,https://www.tiktok.com/@lttngan_207/video/7609482878841343252,2,232.58,
Lạc Hư Cổ Trấn,khách sạn,1,40700,1800000,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7607409661502967058,0,230.7,
Mai Anh Đào,thiên nhiên,1,49800,1700000,10300,,https://www.tiktok.com/@.lt.3605/video/7601868238388989191,1,229.8,
Dream Garden Homestay,homestay,1,130900,854600,26000,,https://www.tiktok.com/@dreamgardenhomestay/video/7465903140534013185,1,226.36,
Chân gà quái thú Đà Lạt,chợ quán,1,56800,1500000,71300,,https://www.tiktok.com/@sieuanvat25/video/7239287781401398533,1,216.8,
Lang Biang,thiên nhiên,7,16943,1285336,48700,,https://www.tiktok.com/@_jingbo_/video/7474884678378343687,6,215.48,Lang Biang Land
Om Secret Hill Đà Lạt,homestay,1,41800,1600000,5782,,https://www.tiktok.com/@aihaohaohao/video/7565083466304408839,1,211.8,
Cà phê Bản Lèo,cafe,4,44027,1235200,568600,,https://www.tiktok.com/@suoibinhyen/video/7596534131127749909,4,207.55,Bản Lèo
Cau Go San May,thiên nhiên,1,63500,1300000,240500,,https://www.tiktok.com/@tiemanhbaprangbo/video/7336046705617440007,1,203.5,
Cầu Treo Đa Nhim,địa điểm checkin,1,48800,1400000,5224,,https://www.tiktok.com/@quangdalatstudio/video/7343623713016925448,1,198.8,
The Florest,địa điểm checkin,1,57000,1300000,81400,,https://www.tiktok.com/@theflorestdalat/video/7598936749192023317,1,197.0,
Quán cafe ngắm hoàng hôn,cafe,1,26300,1600000,222100,,https://www.tiktok.com/@dichoimoingay/video/7358722304156683527,1,196.3,
Hồ Xuân Hương,thiên nhiên,1,34100,1500000,222100,,https://www.tiktok.com/@dichoimoingay/video/7474114773529939220,0,194.1,
Langbiang Land,thiên nhiên,2,21127,1300407,16200,,https://www.tiktok.com/@langbiangland/video/7528369502120185095,2,171.17,
tiệm trà mới mở,cafe,2,56900,925700,14700,,https://www.tiktok.com/@thaodimuonnoi/video/7634755846488050964,0,169.47,
Quán ăn khuya Phung Lai,chợ quán,1,58200,959900,3600000,,https://www.tiktok.com/@phunglai2222/video/7514281689141546248,0,164.19,
Quán cafe tone đen xịn nhất ở Đà Lạt,cafe,1,31700,1200000,222100,,https://www.tiktok.com/@dichoimoingay/video/7360554249291353352,0,161.7,
Sola Cafe Dalat,cafe,1,38200,1100000,60300,,https://www.tiktok.com/@chulamreview/video/7634093050142149895,0,158.2,
Floating TOWN,cafe,1,26300,1200000,60300,,https://www.tiktok.com/@chulamreview/video/7596659252794723592,1,156.3,
Thác Mây,thiên nhiên,1,22900,1100000,26700,,https://www.tiktok.com/@thacmay/video/7550279164360690962,1,142.9,
Rừng Na Uy,thiên nhiên,2,33297,862000,8893,,https://www.tiktok.com/@quanhchilllamm/video/7593951981899631880,2,139.5,Rừng Giao Hưởng
Quán cafe tựa bước ra từ cổ tích,cafe,1,17600,1100000,214600,,https://www.tiktok.com/@hifasne/video/7475687967948967176,1,137.6,
Homestay A,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12,
Homestay B,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12,
Homestay C,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12,
Homestay D,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12,
Tiệm Cơm Niêu,chợ quán,1,13700,1100000,9135,59K,https://www.tiktok.com/@tiemcomnieunhala/video/7374044494146145544,1,133.7,
San Mai Dalat,cafe,2,26900,845700,34500,,https://www.tiktok.com/@review.lt7/video/7601839891789532437,2,131.47,Cafe săn mây Đà Lạt
Tru Truc Wolf House,homestay,1,16800,980900,34500,,https://www.tiktok.com/@tructruc.wolfhouse/video/7388387572537396496,1,124.89,
Vườn hoa cúc hoạ mi,thiên nhiên,1,29800,845300,216400,,https://www.tiktok.com/@dalatstatus/video/7327589103120223506,1,124.33,
Langbiang,thiên nhiên,10,6510,149490,4227,,https://www.tiktok.com/@tc.tour/video/7588900908193320213,10,121.46,
Tiệm cafe,cafe,2,18586,788800,60300,,https://www.tiktok.com/@chulamreview/video/7442942424147692817,0,117.47,Tiệm cafe bên suối | Tiệm cafe tại Đà Lạt
Vị Nhà,nhà hàng,3,26574,546198,586,,https://www.tiktok.com/@vinhatiemcomdalat/video/7631789139515428114,2,111.19,
Quán cafe tone đen siêu xịn sò,cafe,1,20600,783600,221900,,https://www.tiktok.com/@dichoimoingay/video/7333087546748030215,0,108.96,
Nhà hàng thiên đường,nhà hàng,1,14700,840400,42900,,https://www.tiktok.com/@dihetdalat/video/7537670988738137351,0,108.74,
Cafe Hot,cafe,1,11500,832600,100300,,https://www.tiktok.com/@yangho0910/video/7387663612401290517,0,104.76,
Homestay Đà Lạt,homestay,2,23300,582600,2400000,,https://www.tiktok.com/@thuykieu_2802/video/7635674359092333831,2,101.56,
Tiệm Bánh Tráng Nho Nhỏ,chợ quán,1,22800,683200,1928,,https://www.tiktok.com/@tiembanhtrangnhin/video/7603237047783918868,0,101.12,
Laughekimchi,chợ quán,1,18100,718400,177400,,https://www.tiktok.com/@kuti20297/video/7555868969111014664,1,99.94,
Quán ngon Đà Lạt,chợ quán,1,21800,678900,5685,,https://www.tiktok.com/@quanngondalat/video/7419887760447737095,0,99.69,
Cafe Năng Thủy Tinh,cafe,1,39700,494400,5107,,https://www.tiktok.com/@tiemcaffehoibichii/video/7613189551829404948,1,99.14,
Homego,homestay,1,21100,666000,69600,,https://www.tiktok.com/@nguamodalat/video/7635525305557388564,1,97.7,
Quán cafe có view Thuỵ Sĩ,cafe,1,16500,704200,206400,,https://www.tiktok.com/@dichoicunghuy/video/7379832340685573394,1,96.92,
Lưng Chừng Home,homestay,2,11952,640700,92900,,https://www.tiktok.com/@reviewhomestaydalat/video/7591455298607484181,2,96.02,
Bánh canh cua Luxury,chợ quán,1,13000,716100,177400,,https://www.tiktok.com/@kuti20297/video/7463821415771278610,1,94.61,
Lơ Mơ Homestay,homestay,1,12800,714000,4533,200k/người,https://www.tiktok.com/@lomohomestay.dalat/video/7516782237312929042,1,94.2,
Viện Madera Đà Lạt,cafe,1,9376,736600,221900,,https://www.tiktok.com/@dichoimoingay/video/7212926517788167451,1,93.04,
"Phở gà trộn, miến gà trộn Đà Lạt quán Nguyễn Gia",chợ quán,1,12200,684400,5685,,https://www.tiktok.com/@quanngondalat/video/7417303437462768904,0,90.64,
Bún bò Huế Thiên Trang,chợ quán,1,16900,625700,160800,,https://www.tiktok.com/@mr.cunghe/video/7129358708542393627,1,89.47,
Cafe View Đẹp,cafe,1,15300,633300,1366,,https://www.tiktok.com/@360do_dalat/video/7584663801522375957,0,88.63,
Tiệm nướng trong rừng @Miền Du Mục,chợ quán,1,18800,585200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,0,87.32,
Trạm Ký Ức,địa điểm checkin,1,18800,585200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,1,87.32,
Chợ mới Đà Lạt,chợ quán,1,21400,533900,207700,,https://www.tiktok.com/@didalatcungtruc/video/7606909036549688597,1,84.79,
Dưới tán anh đào,cafe,1,35300,385800,19600,,https://www.tiktok.com/@duoitananhdao/video/7632578262715157767,1,83.88,
Cơm Gà Cơm Gia Đình,chợ quán,1,16100,566100,242400,,https://www.tiktok.com/@du_lich_dalat/video/7388817194697755912,0,82.71,
Thôn 330,thiên nhiên,1,31600,406900,482300,,https://www.tiktok.com/@ngocduy_diachianuong/video/7514908810608168200,1,82.29,
