place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases
thác Datanla,địa điểm checkin,16,75436,3263800,789600,170k 1 người,https://www.tiktok.com/@nhanphepha/video/7639633466505596180,"Thác DaTanLa Đà Lạt, Bao Lâu Rồi Bạn Chưa Ghé ? #dalat #thacnuoc #tourguidedeptrai #canhdepthiennhien #dalatreview 
@Tour Guide_ Đẹp Trai🧑‍🦱 
@Tour Guide_ Đẹp Trai🧑‍🦱 
@Tour Guide_ Đẹp Trai🧑‍🦱 ",16,561.82,
Sao Hoả,địa điểm checkin,1,108300,4000000,22000,,https://www.tiktok.com/@sugarmaker72/video/7367962541466717456,"Nay Dĩnh Tiên dắt bạn đi du lịch xa #dalat xíu nha cụ thể là Sao Hoả 😂 #dĩnhtiên #rongchoidalat #foryou #dalatreview #cuocsongdalat #fyp #langthangdalat #phuotdalat #baolam #reviewdalat #khamphadalat
Chỗ này không nên tới nên mọi người coi online thôi nha ",1,518.3,
Fairytale Land,địa điểm checkin,3,159300,3106400,18700000,,https://www.tiktok.com/@dalat_fairytale_land/video/7497465065642183943,"Lost in Fairytale Land 
🇻🇳 🇻🇳 🇻🇳  30.4 - 1.5 🇻🇳 🇻🇳 🇻🇳
Let's gooooo 🛵🛵🛵🛵🛵🛵
#dalat #fairytaleland #langcotichdalat #dulichdalat2025 #diadiemdalat #30thang4 #1thang5 #xuhuong #Далат #Вьетнам #달랏 #베트남 ",3,499.94,The KUPID - Dalat | Dalat Wonderland
Cầu Gỗ Bình Minh Coffee,cafe,4,91366,2608600,568600,,https://www.tiktok.com/@du_lich_dalat/video/7327471583943986433,Hướng Dẫn Đường Đi Săn Mây Cầu Gỗ Bình Minh Coffee Tại Đồi Chè Cầu Đất Đà Lạt#thodandalad#review#reviewdalat#sănmay#sanmay#sanmaydoichecaudat#doichecaudat# ,4,392.23,Cà phê Bản Lèo
Langbiang,địa điểm checkin,10,34284,1628826,48800,,https://www.tiktok.com/@langbiangland/video/7528369502120185095,Đến Langbiang thưởng thức âm nhạc từ các cô sơn nữ nào #langbiangland #music #dalat #dulichdalat ,10,297.17,Langbiang Land
Hồ Xuân Hương,địa điểm checkin,3,66943,1983100,5000000,,https://www.tiktok.com/@manhtienkhoi_/video/7600035869093006610,Hồ Xuân Hương Đà Lạt Sau Tiết Mục Pháo Bông #dalat #sukien #phaobong #ketxe #thachdalat #19dofarm #19dofarmdacsandalat ,3,295.25,
tiệm nướng,khác,1,29700,2200000,221900,,https://www.tiktok.com/@dichoimoingay/video/7376509912337157383,Không gian tiệm nướng ngắm xe lửa cùng view nhà lồng và hoàng hôn cực chill không thể bỏ lỡ ở Đà Lạt🤎 #dalat #dalattrip #dulichdalat #reviewanngon #dichoimoingay ,1,259.7,
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,Tiệm Cơm Gia Đình Ngon Bình Dân Nằm Ngay Trung Tâm Đà Lạt#thodandalad#review#reviewdalat#quananngondalat#comtrua#tiemcomavu# ,1,239.5,
Vườn Địa Đàng,thiên nhiên,1,52700,1700000,37800,,https://www.tiktok.com/@hieuanhcaudung/video/7419309616829435154,Thác 7 tầng - Vườn Địa Đàng - Đà Lạt #dungmeanh #caudungdalat #chupanhdalat #reviewdalat #vuondiadang ,1,232.7,
Lạc Hư Cổ Trấn,địa điểm checkin,1,40900,1800000,123300,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7607409661502967058,"Một địa điểm mới tại Đà Lạt khai trương ngày mùng 1 tết này các bạn ơi.
📍 Lạc Hư Cổ Trấn 
##dalatreviewtravel##latnoitravel##lachucotran",1,230.9,
