place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score
Langbiang Land,thiên nhiên,5,67611,3614700,16200,,https://www.tiktok.com/@langbiangland/video/7528369502120185095,5,479.08
Bánh Tráng Nướng Ngon Nhất Đà Lạt,chợ quán,1,154400,2400000,87800,,https://www.tiktok.com/@nhienthichan/video/7042878105987468546,0,404.4
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242500,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,1,239.5
Cà Tám Đà Lạt,chợ quán,1,54300,1600000,229100,,https://www.tiktok.com/@huevui98/video/7597422283459792136,1,224.3
Datanla,thiên nhiên,5,16316,970928,216400,,https://www.tiktok.com/@datanlawaterfall/video/7600226111255072018,5,163.41
Lang Biang Land,thiên nhiên,2,14945,1201069,16200,,https://www.tiktok.com/@_jingbo_/video/7474884678378343687,1,155.05
thác Datanla,thiên nhiên,6,14805,786122,789800,170k 1 người,https://www.tiktok.com/@nhandian/video/7468691106100776200,6,153.42
Langbiang,thiên nhiên,10,6510,149490,4227,,https://www.tiktok.com/@tc.tour/video/7588900908193320213,10,121.46
Quán local,chợ quán,1,6187,467900,1700000,,https://www.tiktok.com/@khaikhampha/video/7561794472640646407,0,62.98
Lang Biang,thiên nhiên,5,1998,84267,48700,,https://www.tiktok.com/@quynnchiiuu/video/7636719449567005959,5,60.42
Datanla Adventure Activities,thiên nhiên,1,20900,294600,695,,https://www.tiktok.com/@atiqahumirah_/video/7558449624244129031,1,60.36
Tiệm nướng local,chợ quán,1,10300,398800,59800,,https://www.tiktok.com/@hoanganhdidau/video/7592237795184348424,1,60.18
Da Lat Night Market,chợ quán,1,15300,308000,635900,,https://www.tiktok.com/@nama.bites/video/7190212898000571653,1,56.1
Quán Gió,chợ quán,1,4438,293400,6620,,https://www.tiktok.com/@mai_riviu/video/7535782357450657044,0,43.78
Cafe Nhà Của Thông,cafe,1,5262,268800,27800,,https://www.tiktok.com/@dalatdreamer/video/7629190237842918674,1,42.14
Đỉnh Langbiang,thiên nhiên,1,2913,246300,30100,,https://www.tiktok.com/@ha.didau/video/7447872324709256466,1,37.54
Quán nướng Đà Lạt,chợ quán,1,2766,208000,10600,,https://www.tiktok.com/@review.lt7/video/7602437711156219157,1,33.57
chỗ chụp hình,địa điểm checkin,1,1659,197900,1029,,https://www.tiktok.com/@chu3thun/video/7618431180450336008,0,31.45
Xứ Sở Cổng Trời,thiên nhiên,1,1887,142600,297,,https://www.tiktok.com/@xusocongtroi/video/7528426729644248337,1,26.15
Datanla Waterfall,thiên nhiên,2,1556,34938,8346,,https://www.tiktok.com/@vietnamexpress_moments/video/7622119772246822152,2,25.05
Tiệm cơm gà 20k,chợ quán,1,2189,103000,10100,20k,https://www.tiktok.com/@lunmango/video/7578802070728281352,1,22.49
Datanla New Alpine Coaster,thiên nhiên,2,133,3476,880,,https://www.tiktok.com/@faris_ruslan/video/7636968014696516885,2,20.48
lẩu gà lang biang,chợ quán,1,3194,71800,202200,150-300 cành,https://www.tiktok.com/@longlongneee/video/7558069521387441415,1,20.37
Datanla Falls,thiên nhiên,1,210,8226,5941,,https://www.tiktok.com/@charlie.tsg/video/7578522219459005718,1,11.03
Da Lat city,khác,1,210,8226,5941,,https://www.tiktok.com/@charlie.tsg/video/7578522219459005718,0,11.03
Catam,cafe,1,278,3673,32400,,https://www.tiktok.com/@chuyenlaca_/video/7564389953900170503,1,10.65
Chợ LightGem,chợ quán,1,76,2634,3440,,https://www.tiktok.com/@thaodiuu/video/7636721569640877319,1,10.34
Khách sạn Hoa Quynh,khách sạn,1,43,2717,26100,,https://www.tiktok.com/@hoaquynhdalat/video/7634786190746488082,0,10.31
Vườn cam Cara ruột đỏ,thiên nhiên,1,25,2110,2726,,https://www.tiktok.com/@thuy_nina2/video/7438507038516202760,1,10.24
Vườn cam canh K'long K'lanh,thiên nhiên,1,60,984,2681,,https://www.tiktok.com/@lcd_dalat/video/7590671504824749332,1,10.16
Nhà mới Nguyễn Hoàng,khách sạn,1,34,1203,48,2tỷ250tr,https://www.tiktok.com/@hongvanbdsdalat/video/7638251643766885653,1,10.15
Cây Cam Ngọt Coffee,cafe,1,37,761,53,,https://www.tiktok.com/@tienlendalat/video/7636201439043341586,1,10.11
Cam,chỗ checkin,1,23,788,228,,https://www.tiktok.com/@camdalat.ngoaitruyen/video/7513212679184485639,1,10.1
