place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score
thác Datanla,địa điểm checkin,16,75436,3263800,789600,170k 1 người,https://www.tiktok.com/@nhanphepha/video/7639633466505596180,"Thác DaTanLa Đà Lạt, Bao Lâu Rồi Bạn Chưa Ghé ? #dalat #thacnuoc #tourguidedeptrai #canhdepthiennhien #dalatreview 
@Tour Guide_ Đẹp Trai🧑‍🦱 
@Tour Guide_ Đẹp Trai🧑‍🦱 
@Tour Guide_ Đẹp Trai🧑‍🦱 ",16,561.82,,Khu du lịch Thác Datanla,ChIJQTO5pKEUcTERZcAVKbeOzvg,"QL20 Đèo Prenn, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9034324,108.4496999,4.4,24719,,0981 166 088,https://dalattourist.com.vn/,OPERATIONAL,Thứ Hai: 07:30–16:30 | Thứ Ba: 07:30–16:30 | Thứ Tư: 07:30–16:30 | Thứ Năm: 07:30–16:30 | Thứ Sáu: 07:30–16:30 | Thứ Bảy: 07:30–16:30 | Chủ Nhật: 07:30–16:30,07:30,16:30,81.66666666666667
Fairytale Land,địa điểm checkin,3,159300,3106400,18700000,,https://www.tiktok.com/@dalat_fairytale_land/video/7497465065642183943,"Lost in Fairytale Land 
🇻🇳 🇻🇳 🇻🇳  30.4 - 1.5 🇻🇳 🇻🇳 🇻🇳
Let's gooooo 🛵🛵🛵🛵🛵🛵
#dalat #fairytaleland #langcotichdalat #dulichdalat2025 #diadiemdalat #30thang4 #1thang5 #xuhuong #Далат #Вьетнам #달랏 #베트남 ",3,499.94,The KUPID - Dalat | Dalat Wonderland,DALAT FAIRYTALE LAND,ChIJCcTm2xdtcTERLlbemsPGwVI,"Vạn Thành, Làng Hoa, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.9484697,108.4029385,4.3,408,,0941 204 222,https://dalatfairytaleland.com/,OPERATIONAL,Thứ Hai: 07:30–17:00 | Thứ Ba: 07:30–17:00 | Thứ Tư: 07:30–17:00 | Thứ Năm: 07:30–17:00 | Thứ Sáu: 07:30–17:00 | Thứ Bảy: 07:30–17:00 | Chủ Nhật: 07:30–17:00,07:30,17:00,100
Cầu Gỗ Bình Minh Coffee,cafe,4,91366,2608600,568600,,https://www.tiktok.com/@du_lich_dalat/video/7327471583943986433,Hướng Dẫn Đường Đi Săn Mây Cầu Gỗ Bình Minh Coffee Tại Đồi Chè Cầu Đất Đà Lạt#thodandalad#review#reviewdalat#sănmay#sanmay#sanmaydoichecaudat#doichecaudat# ,4,392.23,Cà phê Bản Lèo,Săn Mây Cầu Gỗ - Bình Minh,ChIJf3R-Z-AXcTERdEMQISrK4qg,"Đồi chè, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.8916145,108.5737046,4.6,2760,,0899 889 968,,OPERATIONAL,Thứ Hai: 04:00–12:00 | Thứ Ba: 04:00–12:00 | Thứ Tư: 04:00–12:00 | Thứ Năm: 04:00–12:00 | Thứ Sáu: 04:00–12:00 | Thứ Bảy: 04:00–12:00 | Chủ Nhật: 04:00–12:00,04:00,12:00,68.08510638297872
Langbiang,địa điểm checkin,10,34284,1628826,48800,,https://www.tiktok.com/@langbiangland/video/7528369502120185095,Đến Langbiang thưởng thức âm nhạc từ các cô sơn nữ nào #langbiangland #music #dalat #dulichdalat ,10,297.17,Langbiang Land,Langbiang,ChIJH4Xfz7ZycTERj4pYvzEGu7M,"Langbiang, tt. Lạc Dương, Tp. Đà Lạt, Lâm Đồng, Việt Nam",12.0113122,108.4194447,,,,,,,,,,100
Hồ Xuân Hương,địa điểm checkin,3,66943,1983100,5000000,,https://www.tiktok.com/@manhtienkhoi_/video/7600035869093006610,Hồ Xuân Hương Đà Lạt Sau Tiết Mục Pháo Bông #dalat #sukien #phaobong #ketxe #thachdalat #19dofarm #19dofarmdacsandalat ,3,295.25,,Hồ Xuân Hương,ChIJL9Ajjd8ScTERNAPClxAZWEY,"Hồ Xuân Hương, Lâm Đồng, Việt Nam",11.9407361,108.4415404,4.7,360,,,,,,,,100
tiệm nướng,khác,1,29700,2200000,221900,,https://www.tiktok.com/@dichoimoingay/video/7376509912337157383,Không gian tiệm nướng ngắm xe lửa cùng view nhà lồng và hoàng hôn cực chill không thể bỏ lỡ ở Đà Lạt🤎 #dalat #dalattrip #dulichdalat #reviewanngon #dichoimoingay ,1,259.7,,Tiệm Nướng Ú Nu,ChIJe8uUqQATcTERn1LE8uC_XvM,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9721106,108.4515073,4.8,961,,0981 234 102,,OPERATIONAL,Thứ Hai: 10:00–23:00 | Thứ Ba: 10:00–23:00 | Thứ Tư: 10:00–23:00 | Thứ Năm: 10:00–23:00 | Thứ Sáu: 10:00–23:00 | Thứ Bảy: 10:00–23:00 | Chủ Nhật: 10:00–23:00,10:00,23:00,95.0
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,Tiệm Cơm Gia Đình Ngon Bình Dân Nằm Ngay Trung Tâm Đà Lạt#thodandalad#review#reviewdalat#quananngondalat#comtrua#tiemcomavu# ,1,239.5,,Quán Cơm Gia Đình,ChIJP75VU6ATcTERF7BquNCREUY,"70b Đ. Bùi Thị Xuân, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.954052,108.440315,4,11,,,,OPERATIONAL,Thứ Hai: Đóng cửa | Thứ Ba: Đóng cửa | Thứ Tư: Đóng cửa | Thứ Năm: Đóng cửa | Thứ Sáu: Đóng cửa | Thứ Bảy: Đóng cửa | Chủ Nhật: Mở cửa cả ngày,00:00,00:00,71.7948717948718
Vườn Địa Đàng,thiên nhiên,1,52700,1700000,37800,,https://www.tiktok.com/@hieuanhcaudung/video/7419309616829435154,Thác 7 tầng - Vườn Địa Đàng - Đà Lạt #dungmeanh #caudungdalat #chupanhdalat #reviewdalat #vuondiadang ,1,232.7,,Vườn Địa Đàng,ChIJoa-KU1UVcTERxJbqPGRF21U,"Hoa Cẩm Tú Cầu, Xuân Hương - Đà Lạt, Lâm Đồng 66100, Việt Nam",11.9016994,108.4395692,4.4,2013,,,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,100
Lạc Hư Cổ Trấn,địa điểm checkin,1,40900,1800000,123300,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7607409661502967058,"Một địa điểm mới tại Đà Lạt khai trương ngày mùng 1 tết này các bạn ơi.
📍 Lạc Hư Cổ Trấn 
##dalatreviewtravel##latnoitravel##lachucotran",1,230.9,,Lạc Hư Cổ Trấn,ChIJo_sBJQATcTERA82qQAZoApM,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",11.9404232,108.485043,4.1,213,,0886 843 460,,OPERATIONAL,Thứ Hai: 05:00–21:00 | Thứ Ba: 05:00–21:00 | Thứ Tư: 05:00–21:00 | Thứ Năm: 05:00–21:00 | Thứ Sáu: 05:00–21:00 | Thứ Bảy: 05:00–21:00 | Chủ Nhật: 05:00–21:00,05:00,21:00,100
Mai Anh Đào,địa điểm checkin,1,49800,1700000,10300,,https://www.tiktok.com/@.lt.3605/video/7601868238388989191,Đà Lạt chiều nay 1-2 rực rỡ Mai Anh Đào ❤️#hoxuanhuongdalat #djimavic4pro #fypシ゚ #foryou #canhdepdalat ,1,229.8,,MAI ANH ĐÀO,ChIJ8wiuYlETcTERvXAuABT8c0M,"7 Đường Lộc Quý, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9465493,108.5164391,4.7,10,,,https://giaiphadotpha.vn/,OPERATIONAL,,,,100
