place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score,tiktok_raw,gmaps_raw,tiktok_score_norm,gmaps_score_norm,attraction_score,open_min,close_min,visit_duration_min,include_in_route
Sân Mây Đà Lạt,cafe,30,924020,21629292,789800,199k/ng | 50xu,https://www.tiktok.com/@review.lt7/video/7603371406423887125 | https://www.tiktok.com/@uttieu.homestaydalat/video/7637823397933632776,24,3369.96,Săn Mây Đà Lạt,Sân Mây Homestay Đà Lạt,ChIJrfG9tj4TcTER9rVJnbXvq9E,"56 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9353322,108.4640877,4.7,108,,0966 235 972,https://www.facebook.com/sanmayhomestay?mibextid=ZbWKwL,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,75.86956521739131,3506.95,22.05,1.0,0.4934,0.7974,0,,60,True
Suối Bình Yên,thiên nhiên,4,320407,9849500,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735 | https://www.tiktok.com/@chidichilll/video/7607257270879128839,4,1326.52,Cơm Lam Gà Nướng (Suối Bình Yên),Suối Bình Yên,ChIJy80kJgAVcTERfa4FweZNtMY,"Hoa Cẩm Tú Cầu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9018417,108.4396697,4.4,2841,,,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,100,1365.36,34.99,0.3876,0.783,0.5457,420,1080,90,True
Thác Datanla,thiên nhiên,10,17320,865648,789800,170k 1 người,https://www.tiktok.com/@tinhdidaydido.travelvlog/video/7602245369891704084 | https://www.tiktok.com/@hoanganh.nicole/video/7231038630255480070,10,188.91,,Khu du lịch Thác Datanla,ChIJQTO5pKEUcTERZcAVKbeOzvg,"QL20 Đèo Prenn, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9034324,108.4496999,4.4,24723,,0981 166 088,https://dalattourist.com.vn/,OPERATIONAL,Thứ Hai: 07:30–16:30 | Thứ Ba: 07:30–16:30 | Thứ Tư: 07:30–16:30 | Thứ Năm: 07:30–16:30 | Thứ Sáu: 07:30–16:30 | Thứ Bảy: 07:30–16:30 | Chủ Nhật: 07:30–16:30,07:30,16:30,81.66666666666667,253.88,44.51,0.0697,0.9959,0.4402,450,990,90,True
Miền Du Mục,cafe,5,419135,4524700,146700,"100,000 VND ($3.80)",https://www.tiktok.com/@ericgoesto/video/7523077765306895646 | https://www.tiktok.com/@tiktokgapgiquaydo/video/7571609207460482322,4,578.45,Miendumuc,Miền Du Mục,ChIJCxXHSAATcTER8dIMRnsMoJM,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",11.940508,108.4848853,4.3,925,,,,OPERATIONAL,Thứ Hai: 05:00–21:00 | Thứ Ba: 05:00–21:00 | Thứ Tư: 05:00–21:00 | Thứ Năm: 05:00–21:00 | Thứ Sáu: 05:00–21:00 | Thứ Bảy: 05:00–21:00 | Chủ Nhật: 05:00–21:00,05:00,21:00,100,941.61,29.37,0.2664,0.6573,0.4227,300,1260,60,True
Nha Ben Rung,cafe,1,258700,1600000,216100,,https://www.tiktok.com/@tiemcaphenhabenrung/video/7493504577296223496,1,428.7,,Nhà Bên Rừng,ChIJWw5ukW8TcTERhGX1TNSFZT0,"Tổ Tây Hồ 2, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9341893,108.4774209,4.8,3065,,0975 371 124,https://www.facebook.com/tiemcaphe.nhabenrung,OPERATIONAL,Thứ Hai: 06:00–19:30 | Thứ Ba: 06:00–19:30 | Thứ Tư: 06:00–19:30 | Thứ Năm: 06:00–19:30 | Thứ Sáu: 06:00–19:30 | Thứ Bảy: 06:00–20:00 | Chủ Nhật: 06:00–19:30,06:00,19:30,75.0,433.7,38.54,0.1212,0.8623,0.4176,360,1170,60,True
Làng Cù Lần,thiên nhiên,1,3497,191100,57200,,https://www.tiktok.com/@bacxiuneee_/video/7605564991403560213,1,32.61,,Làng Cù Lần,ChIJPWhb3k5ycTERkHYm-NE8qoA,"ĐT722, Lang Biang - Đà Lạt, Lâm Đồng, Việt Nam",12.0260122,108.3636996,4.6,16566,,,,OPERATIONAL,Thứ Hai: 08:00–17:00 | Thứ Ba: 08:00–17:00 | Thứ Tư: 08:00–17:00 | Thứ Năm: 08:00–17:00 | Thứ Sáu: 08:00–17:30 | Thứ Bảy: 08:00–17:30 | Chủ Nhật: 08:00–17:30,08:00,17:30,100,37.61,44.69,0.0079,1.0,0.4047,480,1050,90,True
Quảng Trường Lâm Viên,địa điểm checkin,1,18500,21400,128900,,https://www.tiktok.com/@myandangdoiban999/video/7587644118529101072,1,30.64,,Quảng trường Lâm Viên,ChIJKQb-oyQTcTERiVn-etOO62Y,"Đ. Trần Quốc Toản, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9393622,108.445203,4.5,14107,,,https://hoadalattravel.vn/quang-truong-lam-vien-da-lat/,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,35.64,43.0,0.0073,0.9621,0.3892,0,,30,True
Chùa Linh Phước,địa điểm checkin,1,253,20000,3121,,https://www.tiktok.com/@tuankien.hoangkimtravel/video/7634580167255510279,1,12.25,,Chùa Linh Phước,ChIJ24TIxRsTcTERG9_-OgIyiSA,"WFR5+57X, 120 Tự Phước, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng 550000, Việt Nam",11.9446332,108.4993224,4.6,10827,,,,OPERATIONAL,,,,100,17.25,42.73,0.0021,0.9562,0.3837,,,30,True
Cau Gò Binh Minh,thiên nhiên,1,64400,2600000,33100,,https://www.tiktok.com/@sanmaycaugo_binhminh/video/7509742123164470546,1,334.4,,Săn Mây Cầu Gỗ - Bình Minh,ChIJf3R-Z-AXcTERdEMQISrK4qg,"Đồi chè, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.8916145,108.5737046,4.6,2760,,0899 889 968,,OPERATIONAL,Thứ Hai: 04:00–12:00 | Thứ Ba: 04:00–12:00 | Thứ Tư: 04:00–12:00 | Thứ Năm: 04:00–12:00 | Thứ Sáu: 04:00–12:00 | Thứ Bảy: 04:00–12:00 | Chủ Nhật: 04:00–12:00,04:00,12:00,65.0,339.4,36.45,0.0942,0.8156,0.3827,240,720,90,True
Datanla,chợ quán,12,93415,2912168,229100,,https://www.tiktok.com/@huevui98/video/7597422283459792136,12,504.63,Cà Tám Đà Lạt | Datanla Falls | Datanla Adventure Activities | Datanla Waterfall | Datanla New Alpine Coaster,Xe Trượt mới Datanla,ChIJGfKs98sVcTERzrIK0qsPCrE,"Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9029656,108.447548,4.3,1703,,0989 718 223,https://ticket-stations.com/Datanla-New-Alpine-da-lat,OPERATIONAL,Thứ Hai: 07:30–17:00 | Thứ Ba: 07:30–17:00 | Thứ Tư: 07:30–17:00 | Thứ Năm: 07:30–17:00 | Thứ Sáu: 07:30–17:00 | Thứ Bảy: 07:30–17:00 | Chủ Nhật: 07:30–17:00,07:30,17:00,66.85185185185186,564.63,32.0,0.1586,0.7159,0.3815,450,1020,45,True
