place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score,tiktok_raw,gmaps_raw,tiktok_score_norm,gmaps_score_norm,attraction_score,open_min,close_min,visit_duration_min,include_in_route
thác Datanla,địa điểm checkin,16,75436,3263800,789600,170k 1 người,https://www.tiktok.com/@nhanphepha/video/7639633466505596180,"Thác DaTanLa Đà Lạt, Bao Lâu Rồi Bạn Chưa Ghé ? #dalat #thacnuoc #tourguidedeptrai #canhdepthiennhien #dalatreview 
@Tour Guide_ Đẹp Trai🧑‍🦱 
@Tour Guide_ Đẹp Trai🧑‍🦱 
@Tour Guide_ Đẹp Trai🧑‍🦱 ",16,561.82,,Khu du lịch Thác Datanla,ChIJQTO5pKEUcTERZcAVKbeOzvg,"QL20 Đèo Prenn, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9034324,108.4496999,4.4,24719,,0981 166 088,https://dalattourist.com.vn/,OPERATIONAL,Thứ Hai: 07:30–16:30 | Thứ Ba: 07:30–16:30 | Thứ Tư: 07:30–16:30 | Thứ Năm: 07:30–16:30 | Thứ Sáu: 07:30–16:30 | Thứ Bảy: 07:30–16:30 | Chủ Nhật: 07:30–16:30,07:30,16:30,81.66666666666667,641.82,44.51,1.0,0.9959,0.9984,450,990,30,True
Fairytale Land,địa điểm checkin,3,159300,3106400,18700000,,https://www.tiktok.com/@dalat_fairytale_land/video/7497465065642183943,"Lost in Fairytale Land 
🇻🇳 🇻🇳 🇻🇳  30.4 - 1.5 🇻🇳 🇻🇳 🇻🇳
Let's gooooo 🛵🛵🛵🛵🛵🛵
#dalat #fairytaleland #langcotichdalat #dulichdalat2025 #diadiemdalat #30thang4 #1thang5 #xuhuong #Далат #Вьетнам #달랏 #베트남 ",3,499.94,The KUPID - Dalat | Dalat Wonderland,DALAT FAIRYTALE LAND,ChIJCcTm2xdtcTERLlbemsPGwVI,"Vạn Thành, Làng Hoa, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.9484697,108.4029385,4.3,408,,0941 204 222,https://dalatfairytaleland.com/,OPERATIONAL,Thứ Hai: 07:30–17:00 | Thứ Ba: 07:30–17:00 | Thứ Tư: 07:30–17:00 | Thứ Năm: 07:30–17:00 | Thứ Sáu: 07:30–17:00 | Thứ Bảy: 07:30–17:00 | Chủ Nhật: 07:30–17:00,07:30,17:00,100,514.94,25.86,0.7988,0.5786,0.7107,450,1020,30,True
Cầu Gỗ Bình Minh Coffee,cafe,4,91366,2608600,568600,,https://www.tiktok.com/@du_lich_dalat/video/7327471583943986433,Hướng Dẫn Đường Đi Săn Mây Cầu Gỗ Bình Minh Coffee Tại Đồi Chè Cầu Đất Đà Lạt#thodandalad#review#reviewdalat#sănmay#sanmay#sanmaydoichecaudat#doichecaudat# ,4,392.23,Cà phê Bản Lèo,Săn Mây Cầu Gỗ - Bình Minh,ChIJf3R-Z-AXcTERdEMQISrK4qg,"Đồi chè, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.8916145,108.5737046,4.6,2760,,0899 889 968,,OPERATIONAL,Thứ Hai: 04:00–12:00 | Thứ Ba: 04:00–12:00 | Thứ Tư: 04:00–12:00 | Thứ Năm: 04:00–12:00 | Thứ Sáu: 04:00–12:00 | Thứ Bảy: 04:00–12:00 | Chủ Nhật: 04:00–12:00,04:00,12:00,68.08510638297872,412.23,36.45,0.6359,0.8155,0.7077,240,720,60,True
tiệm nướng,khác,1,29700,2200000,221900,,https://www.tiktok.com/@dichoimoingay/video/7376509912337157383,Không gian tiệm nướng ngắm xe lửa cùng view nhà lồng và hoàng hôn cực chill không thể bỏ lỡ ở Đà Lạt🤎 #dalat #dalattrip #dulichdalat #reviewanngon #dichoimoingay ,1,259.7,,Tiệm Nướng Ú Nu,ChIJe8uUqQATcTERn1LE8uC_XvM,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9721106,108.4515073,4.8,961,,0981 234 102,,OPERATIONAL,Thứ Hai: 10:00–23:00 | Thứ Ba: 10:00–23:00 | Thứ Tư: 10:00–23:00 | Thứ Năm: 10:00–23:00 | Thứ Sáu: 10:00–23:00 | Thứ Bảy: 10:00–23:00 | Chủ Nhật: 10:00–23:00,10:00,23:00,95.0,264.7,32.97,0.4019,0.7378,0.5362,600,1380,45,True
Langbiang,địa điểm checkin,10,34284,1628826,48800,,https://www.tiktok.com/@langbiangland/video/7528369502120185095,Đến Langbiang thưởng thức âm nhạc từ các cô sơn nữ nào #langbiangland #music #dalat #dulichdalat ,10,297.17,Langbiang Land,Langbiang,ChIJH4Xfz7ZycTERj4pYvzEGu7M,"Langbiang, tt. Lạc Dương, Tp. Đà Lạt, Lâm Đồng, Việt Nam",12.0113122,108.4194447,,,,,,,,,,100,347.17,0.0,0.5327,0.0,0.5327,,,30,True
Hồ Xuân Hương,địa điểm checkin,3,66943,1983100,5000000,,https://www.tiktok.com/@manhtienkhoi_/video/7600035869093006610,Hồ Xuân Hương Đà Lạt Sau Tiết Mục Pháo Bông #dalat #sukien #phaobong #ketxe #thachdalat #19dofarm #19dofarmdacsandalat ,3,295.25,,Hồ Xuân Hương,ChIJL9Ajjd8ScTERNAPClxAZWEY,"Hồ Xuân Hương, Lâm Đồng, Việt Nam",11.9407361,108.4415404,4.7,360,,,,,,,,100,310.25,27.68,0.4741,0.6193,0.5322,,,30,True
Vườn Địa Đàng,thiên nhiên,1,52700,1700000,37800,,https://www.tiktok.com/@hieuanhcaudung/video/7419309616829435154,Thác 7 tầng - Vườn Địa Đàng - Đà Lạt #dungmeanh #caudungdalat #chupanhdalat #reviewdalat #vuondiadang ,1,232.7,,Vườn Địa Đàng,ChIJoa-KU1UVcTERxJbqPGRF21U,"Hoa Cẩm Tú Cầu, Xuân Hương - Đà Lạt, Lâm Đồng 66100, Việt Nam",11.9016994,108.4395692,4.4,2013,,,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,100,237.7,33.47,0.359,0.749,0.515,420,1080,90,True
Maze Bar,cafe,1,51900,1600000,72100,,https://www.tiktok.com/@koinamang/video/7473110759875153159,Phần 2 - Maze Bar Đà Lạt 🫣 #learnontiktok #ancungtiktok #dalat #dulichdalat #koinamang #mazebar ,1,221.9,,Maze Bar,ChIJsx2AxigTcTERJJ1Fu4CmsMs,"57 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9446386,108.4375466,4.6,1755,2,0903 040 202,https://www.facebook.com/100roof.mazebar/,OPERATIONAL,Thứ Hai: 08:00–00:00 | Thứ Ba: 08:00–00:00 | Thứ Tư: 08:00–00:00 | Thứ Năm: 08:00–00:00 | Thứ Sáu: 08:00–00:00 | Thứ Bảy: 08:00–00:00 | Chủ Nhật: 08:00–00:00,08:00,00:00,100,226.9,34.37,0.3419,0.769,0.5127,480,1440,60,True
Cafe mới,cafe,1,32600,1000000,51900,,https://www.tiktok.com/@bolonton_/video/7461468993396706567,"Vượt 275km từ Thủ Đức lên Đà Lạt chỉ để tận hưởng không gian cafe mới với không khí se lạnh iu thíchhh 🤎🍂 
#bolonton #cafe #dalat #chuyencuamo #cafedalat #xh #fyp #reviewcafe ",0,142.6,,Still Cafe,ChIJawxt4R4TcTERR3yVdgtMhbI,"59 Nguyễn Trãi, Lâm Viên - Đà Lạt, Lâm Đồng 66111, Việt Nam",11.9443445,108.4543587,4.5,2965,2,0869 275 079,https://www.facebook.com/still.dalat,OPERATIONAL,Thứ Hai: 08:00–21:00 | Thứ Ba: 08:00–21:00 | Thứ Tư: 08:00–21:00 | Thứ Năm: 08:00–21:00 | Thứ Sáu: 08:00–21:00 | Thứ Bảy: 08:00–21:00 | Chủ Nhật: 08:00–21:00,08:00,21:00,66.66666666666667,142.6,35.98,0.2082,0.805,0.4469,480,1260,60,True
Làng Cù Lần,địa điểm checkin,1,3516,191900,57400,,https://www.tiktok.com/@bacxiuneee_/video/7605564991403560213,"Đi Làng Cù Lần, có ai bỏ quên “Lò Gụ” này khumm🍃
#langculan #reviewdalat #dulichdalat #dalat #bacxiunee ",1,32.71,,Làng Cù Lần,ChIJPWhb3k5ycTERkHYm-NE8qoA,"ĐT722, Lang Biang - Đà Lạt, Lâm Đồng, Việt Nam",12.0260122,108.3636996,4.6,16572,,,,OPERATIONAL,Thứ Hai: 08:00–17:00 | Thứ Ba: 08:00–17:00 | Thứ Tư: 08:00–17:00 | Thứ Năm: 08:00–17:00 | Thứ Sáu: 08:00–17:30 | Thứ Bảy: 08:00–17:30 | Chủ Nhật: 08:00–17:30,08:00,17:30,100,37.71,44.69,0.0418,1.0,0.4251,480,1050,30,True
