place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases,reason
Happy Hill,địa điểm checkin,2,140300,5400000,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7569189293630016786,2,700.3,Happy Hill Dalat,low_score_52.735849056603776
Silk Oil,khách sạn,1,137300,1500000,790200,,https://www.tiktok.com/@_trinhhavi_/video/7574400141726125330,1,297.3,,low_score_19.999999999999996
Quán Cafe cạnh bến xe Liên Tỉnh Đà Lạt,cafe,1,81000,1700000,268000,,https://www.tiktok.com/@dicungmuadl/video/7502732506345557255,1,261.0,,low_score_53.125
Thác Đa Tán,thiên nhiên,2,78395,1341900,721,,https://www.tiktok.com/@lttngan_207/video/7609482878841343252,2,232.58,,low_score_34.285714285714285
Quán cafe tone đen xịn nhất ở Đà Lạt,cafe,1,31700,1200000,222100,,https://www.tiktok.com/@dichoimoingay/video/7360554249291353352,0,161.7,,low_score_43.13725490196079
Quán cafe tựa bước ra từ cổ tích,cafe,1,17600,1100000,214600,,https://www.tiktok.com/@hifasne/video/7475687967948967176,1,137.6,,low_score_46.42857142857143
Tru Truc Wolf House,homestay,1,16800,980900,34500,,https://www.tiktok.com/@tructruc.wolfhouse/video/7388387572537396496,1,124.89,,low_score_45.833333333333336
Quán cafe tone đen siêu xịn sò,cafe,1,20600,783600,221900,,https://www.tiktok.com/@dichoimoingay/video/7333087546748030215,0,108.96,,low_score_42.622950819672134
Laughekimchi,chợ quán,1,18100,718400,177400,,https://www.tiktok.com/@kuti20297/video/7555868969111014664,1,99.94,,low_score_37.03703703703704
Cafe Năng Thủy Tinh,cafe,1,39700,494400,5107,,https://www.tiktok.com/@tiemcaffehoibichii/video/7613189551829404948,1,99.14,,low_score_57.77777777777777
Quán cafe có view Thuỵ Sĩ,cafe,1,16500,704200,206400,,https://www.tiktok.com/@dichoicunghuy/video/7379832340685573394,1,96.92,,low_score_48.97959183673469
Viện Madera Đà Lạt,cafe,1,9376,736600,221900,,https://www.tiktok.com/@dichoimoingay/video/7212926517788167451,1,93.04,,low_score_48.275862068965516
"Phở gà trộn, miến gà trộn Đà Lạt quán Nguyễn Gia",chợ quán,1,12200,684400,5685,,https://www.tiktok.com/@quanngondalat/video/7417303437462768904,0,90.64,,low_score_51.85185185185186
Thôn 330,thiên nhiên,1,31600,406900,482300,,https://www.tiktok.com/@ngocduy_diachianuong/video/7514908810608168200,1,82.29,,low_score_23.529411764705888
Nao Ranh Cafe,cafe | địa điểm checkin,1,10400,602000,81600,,https://www.tiktok.com/@naoranhcaphe/video/7585400904535297296,1,80.6,,low_score_53.333333333333336
Biệt thự đồi Robin,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,,low_score_54.54545454545454
Góc Dã Tượng và Yết Kiêu,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,,low_score_54.054054054054056
Tích Lan Cột Tình Đà Lạt,thiên nhiên,1,22200,319700,15900,,https://www.tiktok.com/@dalat_fairytale_land/video/7620435689280163090,1,64.17,,low_score_52.0
3 Quán Cafe View Siêu Đỉnh,địa điểm checkin,1,4056,479000,263300,,https://www.tiktok.com/@ghiendalat_official/video/7260308599430204673,0,61.96,,low_score_43.47826086956522
155ca,cafe,1,17900,338900,1591,,https://www.tiktok.com/@vuongtong_1/video/7634451004020444423,1,61.79,,low_score_21.052631578947366
Trúc Trực Wolf House,homestay,1,6010,440900,34500,,https://www.tiktok.com/@tructruc.wolfhouse/video/7524347222104804615,1,60.1,,low_score_40.816326530612244
Cà phê Happy Hill,cafe,1,10300,364300,176200,,https://www.tiktok.com/@hongphuonghoteldalat42/video/7588448993714228481,1,56.73,,low_score_46.666666666666664
Da Lat Night Market,chợ quán,1,15300,308000,635900,,https://www.tiktok.com/@nama.bites/video/7190212898000571653,1,56.1,,low_score_10.526315789473683
Thác Đatanlar,thiên nhiên,2,9478,237300,653,,https://www.tiktok.com/@trieunhivlog/video/7474836484277701896,2,53.21,,low_score_32.432432432432435
Khách sạn đáng thử gần trung tâm Đà Lạt,khách sạn,1,6996,354200,42900,,https://www.tiktok.com/@dihetdalat/video/7515412014664043783,0,52.42,,low_score_57.14285714285714
Quán cafe HabaNuru,cafe,1,4960,370600,74200,,https://www.tiktok.com/@ngoctran95_03/video/7349139757395479815,0,52.02,,low_score_54.54545454545454
Quán Cơm Trưa Với Các Món Ăn Đặc Sản Của Người Đồng Bào,chợ quán,1,6023,354500,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7514631840213454088,1,51.47,,low_score_49.48453608247423
Oday Co Homexinh,homestay,1,6386,341800,71800,,https://www.tiktok.com/@odaycohomexinh/video/7593300052982926612,1,50.57,,low_score_53.84615384615385
Đêm nhạc Ở Lại Mây,địa điểm checkin,1,3388,312700,9115,,https://www.tiktok.com/@olaimay.dalat/video/7622118181519232274,1,44.66,,low_score_58.82352941176471
Cafe Nhà Của Thông,cafe,1,5243,267900,27800,,https://www.tiktok.com/@dalatdreamer/video/7629190237842918674,1,42.03,,low_score_57.77777777777777
Quán Cafe Vibe Hàn,cafe,1,7690,209300,4925,,https://www.tiktok.com/@mee.dalat/video/7616305515848551700,1,38.62,,low_score_50.0
Nét đẹp tự nhiên Đà Lạt,thiên nhiên,1,13100,151200,12500,,https://www.tiktok.com/@sundilaca/video/7631971399866780944,1,38.22,,low_score_45.45454545454546
Thác Pongour,thiên nhiên,3,163,8773,4447,,https://www.tiktok.com/@thanhlanbt88/video/7635497474953596167,3,31.04,,out_of_dalat
Là Bữa In Dalat,chợ quán,1,2232,171200,177400,55🌿 cho một người,https://www.tiktok.com/@kuti20297/video/7543968164565077266,1,29.35,,low_score_42.85714285714286
Cơm Gà Bình Dân,chợ quán,1,3344,158000,455500,平价,https://www.tiktok.com/@dicungphuc/video/7544952330693840136,1,29.14,,low_score_57.14285714285714
Khu tổ hợp trò chơi giải trí,địa điểm checkin,1,1275,158100,49400,,https://www.tiktok.com/@toiudl/video/7475537134867238151,1,27.09,,low_score_58.62068965517242
Khách sạn đẹp trung tâm Đà Lạt,khách sạn,1,1607,141200,10900,,https://www.tiktok.com/@combo.ngavivu/video/7552718308580019477,0,25.73,,low_score_56.41025641025641
Quán ốc siêu ngon và tươi,chợ quán,1,3210,123500,177400,,https://www.tiktok.com/@kuti20297/video/7453686964391349511,0,25.56,,low_score_54.054054054054056
Chòi Ôi,chợ quán,1,4619,93700,1322,,https://www.tiktok.com/@ngocdilacreview/video/7611906520112139541,1,23.99,,low_score_52.63157894736843
Son Harryy,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,0,23.9,,low_score_42.10526315789473
"Dalat, Vietnam",thiên nhiên,1,4804,89400,71100,,https://www.tiktok.com/@two_peas_abroad/video/7619697125416291606,1,23.74,,low_score_54.54545454545454
Cà phê xanh lùn,cafe,2,545,17434,6386,,https://www.tiktok.com/@gaaaconn/video/7480527027444010247,2,22.29,cà phê REO,low_score_57.14285714285714
Tiệm Gà Tuk Tuk,chợ quán,1,1320,107400,5685,,https://www.tiktok.com/@quanngondalat/video/7569128747845176597,1,22.06,,low_score_41.269841269841265
Nhà Của Thông,địa điểm checkin,1,1656,100600,25300,,https://www.tiktok.com/@dicungdalat/video/7628756995616607506,1,21.72,,low_score_55.00000000000001
6 con dốc,địa điểm checkin,1,1781,99300,42900,,https://www.tiktok.com/@dihetdalat/video/7549544110693174536,1,21.71,,low_score_44.44444444444444
Cafe Toi Den,cafe,2,347,4831,4952,,https://www.tiktok.com/@diemthuynguyen_1979/video/7450640480565464338,2,20.83,Caffe Vườn Địa Đàng,low_score_38.46153846153846
lẩu gà lang biang,chợ quán,1,3194,71800,202200,150-300 cành,https://www.tiktok.com/@longlongneee/video/7558069521387441415,1,20.37,,low_score_53.65853658536586
Ga49 Dalat,cafe,1,3075,52200,1332,,https://www.tiktok.com/@checkindalat24h/video/7632297555413437704,1,18.3,,low_score_36.62162162162162
Quán cà phê mới toanh,cafe,1,1336,69300,109700,,https://www.tiktok.com/@mc_quangtamm/video/7385911460192390417,0,18.27,,low_score_57.14285714285714
Thác Đa Lat,thiên nhiên,1,1506,60600,26700,,https://www.tiktok.com/@ducdodalat/video/7609615653535747335,1,17.57,,low_score_54.54545454545454
Night market,chợ quán,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,,low_score_10.526315789473683
Mario kart irl,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,,low_score_41.666666666666664
Crazy house,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,,low_score_21.42857142857143
Warm tofu,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,,low_score_30.76923076923077
Waterfall hopping,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95,,low_score_43.75
Top 5 khách sạn 4 sao Đà Lạt sang trọng,khách sạn,1,420,62700,8225,4 sao,https://www.tiktok.com/@dalatcungtico/video/7217422273534266629,1,16.69,,low_score_50.98039215686274
Quán cf mới mở,cafe,1,623,53700,111100,,https://www.tiktok.com/@nhanphepha/video/7603708453218979092,1,15.99,,low_score_40.0
Thác Dambri,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,,low_score_45.714285714285715
Thác Pongour (Thác Bảy Tầng),thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,,out_of_dalat
Thác Bảo Đại,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,,out_of_dalat
Thác Dasara,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,,low_score_59.25925925925925
Thác Bobla (Thác Liên Đầm),thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,,low_score_41.860465116279066
Cafe hidden hẻm nhỏ Đà Lạt,cafe,1,1479,37700,4106,,https://www.tiktok.com/@caphedi.dalat/video/7398767159897246994,0,15.25,,low_score_59.25925925925925
Địa điểm café xóm lẻ,cafe,1,1993,27600,738,,https://www.tiktok.com/@gianghiem01/video/7392422406733729040,0,14.75,,low_score_41.02564102564102
5 địa điểm có hoa phượng tím tại Đà Lạt,địa điểm checkin,1,603,40100,42900,,https://www.tiktok.com/@dihetdalat/video/7612572085180845333,0,14.61,,low_score_57.57575757575757
Tiệm cơm Linh,chợ quán,1,644,37800,51900,,https://www.tiktok.com/@bolonton_/video/7480398850885274888,0,14.42,,low_score_47.61904761904761
Khu Vườn Bonsai Que Garden,thiên nhiên,1,555,37500,2616,,https://www.tiktok.com/@quegardenvanthanh/video/7519366669341347090,1,14.3,,low_score_50.0
Quán ăn hạt siu hạt dẻ,chợ quán,1,272,36700,42800,,https://www.tiktok.com/@chuyen_cua_nu/video/7300857634893221138,0,13.94,,low_score_50.0
Ẩm thực Nam Anh Phát,chợ quán,1,2115,18200,5685,,https://www.tiktok.com/@quanngondalat/video/7458879362511686920,1,13.94,,low_score_57.77777777777777
Quán cafe có hoa Tullip,cafe,1,616,30400,120500,,https://www.tiktok.com/@lananhne95/video/7323510371262795015,1,13.66,,low_score_52.63157894736843
