place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,reason
Sao Hoả,địa điểm checkin,1,108300,4000000,22000,,https://www.tiktok.com/@sugarmaker72/video/7367962541466717456,"Nay Dĩnh Tiên dắt bạn đi du lịch xa #dalat xíu nha cụ thể là Sao Hoả 😂 #dĩnhtiên #rongchoidalat #foryou #dalatreview #cuocsongdalat #fyp #langthangdalat #phuotdalat #baolam #reviewdalat #khamphadalat
Chỗ này không nên tới nên mọi người coi online thôi nha ",1,518.3,,low_score_40.0
Quán nướng view đẹp,địa điểm checkin,1,21700,1900000,156600,,https://www.tiktok.com/@tuilasapne/video/7376531805442297096,"Quán nướng view đẹp chill in Đà Lạt ngay trung tâm cách chợ Đà Lạt chỉ 5p thôi mng ! 
#sapblogger #tryitwithtiktok #learnontiktok #vtmgr #ancungtiktok #reviewanngon #dalat ",1,221.7,,low_score_60.60606060606061
Cơm chan nước mắt,khác,1,19000,1500000,5827,,https://www.tiktok.com/@doancaochun/video/7420786910164995329,"Cơm chan nước mắt
#fyp #dalat #caphedalat ",1,179.0,,low_score_57.14285714285714
SOLENA “Quãng Trường La Mã” Đà Lạt,cafe,2,41700,859500,2891,,https://www.tiktok.com/@peonybaobao/video/7616313241244863752,"Trả lời @Phat Huynh Phần 80 | Chi tiết đường đi đến SOLENA “Quãng Trường La Mã” Đà Lạt , tranh thủ đi ngay mấy bàaaa #xuhuong #chinhimientay #checkindalat #diadiemdalat #dalatreview 

@ᥫ᭡ Chế Nhi Miền Tây ౨ৎ 
@ᥫ᭡ Chế Nhi Miền Tây ౨ৎ ",2,147.65,Quán nướng Solena Đà Lạt,low_score_60.86956521739131
Cafe tựa bước ra từ cổ tích,cafe,1,17600,1200000,214500,,https://www.tiktok.com/@hifasne/video/7475687967948967176,"Quán cafe tựa bước ra từ cổ tích cực đẹp, thiệt là chỗ nào ngồi cũng có hình đẹp luônnn 

#cafe #coffee #xuhuong #trending #learnontiktok #dalat #dalatcafe #dalatcoffee ",1,147.6,,low_score_37.5
Quán cafe tone đen,cafe,1,20600,783600,221900,,https://www.tiktok.com/@dichoimoingay/video/7333087546748030215,Quán cafe tone đen siêu xịn sò mà bạn phải thử khi đến Đà Lạt🖤 #cafe #reviewcafe #rainycafe #dalat #reviewdalat #dulichdalat #dalattrip #dichoimoingay ,1,108.96,,low_score_54.54545454545454
Cà phê,cafe,3,13968,598400,200300,,https://www.tiktok.com/@nhat.le.trs/video/7609314328109501716,"Trốn cả thế giới tại @tiệm cà phê Dốc thị – nơi thời gian như ngưng lại giữa sương mù Đà Lạt. Một tách cà phê, một chút chill, và cả bầu trời an yên ❤️  #DocThi #CaPheDocThi #DaLatViewDep #CafeDaLat #CheckinDaLat #DaLatChill #GocNhoDaLat #CafeViewDoi #DocThiCoffee #AnYenGiuaDaLat #TronLenDaLat #dalat ",3,103.81,Quán cà phê Cô Long | Coffe view hồ Tuyền Lâm | Tiệm cà phê Dốc thị,low_score_63.0
Quán cafe có view Thuỵ Sĩ,cafe,1,16500,704300,206400,,https://www.tiktok.com/@dichoicunghuy/video/7379832340685573394,Quán cafe có view Thuỵ Sĩ hót rần rần Đà Lạt bữa giờ. #cafe #reviewcafe #dalattrip #dulichdalat ,1,96.93,,low_score_48.97959183673469
Nấm Dừa,thiên nhiên,1,9974,704100,985,,https://www.tiktok.com/@mittorau/video/6722658333305720066,khám phá Đà Lạt : nấm dừa #bungbutv #đà_lạt #đàlạt #khámphá #trekking #nấm,1,90.38,,low_score_53.333333333333336
Tiệm ăn Nhà Khói,cafe,1,33500,453500,14400,,https://www.tiktok.com/@tiemannhakhoii/video/7229950761105509637,"Cuối tuần rồi, hãy lên đồ, thẳng tiến đến Tiệm ăn Nhà Khói, đừng quên dẫn theo 1 người chụp có tâm nữa để vừa ăn ngon, chill trong không gian Dalat, vừa có những bức hình đẹp thỏa đam mê sống ảo thôi nào các ní #quananThuDuc #nuonglau #bbqfood 

➖➖➖➖➖➖➖➖➖➖➖➖
🍲Tiệm ăn Nhà Khói
 🏡 𝒪𝓅𝑒𝓃 16:00 đến 22:00 hàng ngày 
🏡 𝒜𝒹𝒹𝓇𝑒𝓈𝓈  82 đường 36, phường Linh Đông, Tp Thủ Đức, TP. Hồ Chí Minh. 
🏡 𝒽𝑜𝓉𝓁𝒾𝓃𝑒 0901344286
#nuonglau #quananThuDuc  #quanandep #quanandalat #quananchill #quanandalatgiuasaigon",1,88.85,,low_score_64.86486486486487
