day,stop,method,name,type,arrive,start_visit,end_visit,feasible,dist_km,rating,attraction_score,address,video_url,lat,lng
1,1,SA,The Florest,địa điểm checkin,07:00,07:00,07:30,True,0.0,4.3,0.3375,"Thôn 4, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@theflorestdalat/video/7598936749192023317,11.9039342,108.3674764
1,2,SA,REO Campsite,địa điểm checkin,07:39,07:39,08:09,True,4.98,4.8,0.3117,"Đ. Hoa Hồng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@reodalat/video/7494138513517071624,11.8898505,108.4109295
1,3,SA,Quán cafe Đà Lạt,cafe,08:23,08:23,09:23,True,6.62,4.4,0.3266,"6 Khu Hoà Bình, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nhandian/video/7164729843039472922,11.944171,108.4358881
1,4,SA,Quảng Trường Lâm Viên,địa điểm checkin,09:25,09:25,09:55,True,1.15,4.5,0.3893,"Đ. Trần Quốc Toản, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@myandangdoiban999/video/7587644118529101072,11.9393622,108.445203
1,5,SA,Sân Mây Đà Lạt,cafe,09:59,09:59,10:59,True,2.1,4.7,0.7974,"56 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@review.lt7/video/7603371406423887125,11.9353322,108.4640877
1,6,SA,Tiệm cà phê Dốc thị,cafe,11:03,11:03,12:03,True,1.7,4.8,0.3681,"WFPJ+R2H, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@bananzidong/video/7452307410745658632,11.9371818,108.4795608
1,7,SA,Nha Ben Rung,cafe,12:03,12:03,13:03,True,0.41,4.8,0.4181,"Tổ Tây Hồ 2, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@tiemcaphenhabenrung/video/7493504577296223496,11.9341893,108.4774209
1,8,SA,Cheo veo cà phê,cafe,13:05,13:05,14:05,True,0.69,4.5,0.3043,"116 Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165,11.9381566,108.4823005
1,9,SA,Cafe Lời Của Gió,cafe,14:08,14:08,15:08,True,1.63,4.2,0.3121,"Đường Huỳnh Tấn Phát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@julepe.sheen/video/7371685175857564946,11.949984,108.4911826
1,10,SA,Miền Du Mục,cafe,15:11,15:11,16:11,True,1.26,4.3,0.3636,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ericgoesto/video/7523077765306895646,11.940508,108.4848853
1,11,SA,Chùa Linh Phước,địa điểm checkin,16:14,16:14,16:44,True,1.64,4.6,0.3837,"WFR5+57X, 120 Tự Phước, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng 550000, Việt Nam",https://www.tiktok.com/@tuankien.hoangkimtravel/video/7634580167255510279,11.9446332,108.4993224
1,12,SA,Cà phê Vùng Ngoại Ô Đà Lạt,cafe,16:48,16:48,17:48,True,2.15,4.9,0.3268,"Đường Đình Đa Quý, Đá Quý, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@sanmayvungngoaio/video/7638278348048698642,11.9299258,108.5121744
1,13,SA,Cau Gò Binh Minh,thiên nhiên,18:04,18:04,19:34,False,7.94,4.6,0.3831,"Đồi chè, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@sanmaycaugo_binhminh/video/7509742123164470546,11.8916145,108.5737046
1,14,SA,Cau Go San May,thiên nhiên,18:05,18:05,19:35,True,0.62,4.7,0.2976,"Trường Thọ, Xuân Trường - Đà Lạt, Lâm Đồng 66121, Việt Nam",https://www.tiktok.com/@tiemanhbaprangbo/video/7336046705617440007,11.8924324,108.5680309
2,1,SA,Hồ Tuyền Lâm,thiên nhiên,07:00,07:00,08:30,True,0.0,4.6,0.3248,"Hồ Tuyền Lâm, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@rng.m963/video/7558721922368867604,11.8998298,108.4298302
2,2,SA,Suối Bình Yên,thiên nhiên,08:32,08:32,10:02,True,1.09,4.4,0.5431,"Hoa Cẩm Tú Cầu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,11.9018417,108.4396697
2,3,SA,Datanla,chợ quán,10:03,10:03,10:48,True,0.87,4.3,0.3821,"Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@huevui98/video/7597422283459792136,11.9029656,108.447548
2,4,SA,Thác Datanla,thiên nhiên,10:49,10:49,12:19,True,0.24,4.4,0.437,"QL20 Đèo Prenn, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@tinhdidaydido.travelvlog/video/7602245369891704084,11.9034324,108.4496999
2,5,SA,Cơm niêu,chợ quán,12:30,12:30,13:15,True,5.65,4.8,0.354,"35-37 Đinh Tiên Hoàng, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",https://www.tiktok.com/@tiemcomnieunhala/video/7344170952231570708,11.953686,108.4421459
2,6,SA,Quán lẩu cá tầm,chợ quán,13:17,13:17,14:02,True,1.03,4.8,0.3272,"Khu quy hoạch/Lô 75 Nguyễn Công Trứ, Xuân Hương - Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@nhandian/video/7580740804403039496,11.9546144,108.4327345
2,7,SA,Lẩu gà lá é Tạo Ngộ,chợ quán,14:07,14:07,14:52,True,2.39,4.0,0.2965,"4A/5 Hẻm Cầu Đúc, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@sayhihuy/video/7350238587985726738,11.9391984,108.4480242
