day,stop,method,name,type,arrive,start_visit,end_visit,feasible,dist_km,rating,attraction_score,address,video_url
2,1,Greedy 3D,New Light Coffee,cafe,07:00,07:00,08:00,True,0.0,4.6,0.301,"3 bis Hoàng Hoa Thám, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@didalatcungtruc/video/7633363595354590485
2,2,Greedy 3D,Tiệm Cà Phê Bình Minh Ơi Đà Lạt,cafe,08:01,08:01,09:01,True,0.8207722575148858,4.4,0.3384,"89 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@tiemcaphebinhminhoidalat/video/7376464212798852370
2,3,Greedy 3D,Quán Cà phê Hoa Xương Rồng,cafe,09:01,09:01,10:01,True,0.053846715362946836,4.4,0.2666,"89 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66117, Việt Nam",https://www.tiktok.com/@caphedalat01/video/7414005832070860040
2,4,Greedy 3D,Thênh Thang,cafe,10:04,10:04,11:04,True,1.552883295050553,4.9,0.4014,"hem xe Ford ô tô, 108 Đ. Hùng Vương, Tổ Tây Hồ 2, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@tiemcaphenhabenrung/video/7509087907039218951
2,5,Greedy 3D,3 tiệm cà phê viral ở Đà Lạt,cafe,11:05,11:05,12:05,True,0.367787661099548,4.5,0.3182,"116 Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@nhandian/video/7635214351682522388 | https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165
2,6,Greedy 3D,Dưới tán anh đào,cafe,12:06,12:06,13:06,True,0.3535699359753486,4.5,0.3174,"29B Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66118, Việt Nam",https://www.tiktok.com/@duoitananhdao/video/7639696857463131400
2,7,Greedy 3D,Miền Du Mục,cafe,13:06,13:06,14:06,True,0.03729175630486383,4.3,0.279,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ericgoesto/video/7523077765306895646
2,8,Greedy 3D,Tiệm cà phê Hoàng Hôn Chiều,cafe,14:11,14:11,15:11,True,2.5083413282255154,4.1,0.2634,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@onenightstation/video/7551067372229102866
2,9,Greedy 3D,Hoa Cẩm Tú Cầu,cafe,15:13,15:13,16:13,True,0.8516262513082821,4.3,0.3038,"Đường Tập Đoàn 7, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ama.vietnam.blog/video/7613373066021735687
2,10,Greedy 3D,Quán cafe Cô Long,cafe,16:27,16:27,17:27,True,7.351165213325766,4.7,0.2802,"59 Vạn Hạnh, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@bossnews.official/video/7628542421235666196
2,11,Greedy 3D,chợ mới Đà Lạt,chợ quán,17:32,17:32,18:12,True,2.4868777643273963,4.1,0.2792,"Phan Bội Châu, Chợ mới center tần 2, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@didalatcungtruc/video/7606909036549688597
2,12,Greedy 3D,Tiệm Cơm Gia Đình Ngon,chợ quán,18:15,18:15,18:50,False,1.135753188568048,4.0,0.3109,"70b Đ. Bùi Thị Xuân, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610
2,13,Greedy 3D,Cầu Gỗ Bình Minh Coffee,cafe,18:47,18:47,19:47,False,16.08749213746116,4.6,0.7077,"Đồi chè, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@du_lich_dalat/video/7327471583943986433
3,1,Greedy 3D,Nướng,chợ quán,07:00,11:00,11:43,True,0.0,4.8,0.4043,"28 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@gowith_we/video/7447126428484685074
3,2,Greedy 3D,Al Dente,nhà hàng,11:43,18:00,19:00,True,0.43776171771978856,5.0,0.2496,"49/23/3, Đ. Phạm Hồng Thái, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@omsaonoi/video/7496113004753423624
3,3,Greedy 3D,Pasta Fresca - Taste of Italy,cafe,19:01,19:01,20:01,True,0.6396991678090624,4.8,0.2799,"BL10, KQH Yersin, Ward 9, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@pastabperdb/video/7586908704109350165
3,4,Greedy 3D,tiệm nướng,khác,20:06,20:06,20:49,True,2.830761858109563,4.8,0.5362,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@dichoimoingay/video/7376509912337157383
3,5,Greedy 3D,Tiệm Cơm Hồi Đó,chợ quán,20:54,20:54,21:37,False,2.0566847975668483,4.8,0.3363,"5 Lý Nam Đế, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@kuti20297/video/7570710409133542663
3,6,Greedy 3D,Tiệm cơm Mêli Đà Lạt,quán ăn,20:55,20:55,21:58,False,0.5520589272538201,4.5,0.3033,"Hẽm 288, Đ. Bùi Thị Xuân, Xuân Hương - Đà Lạt, Lâm Đồng 660000, Việt Nam",https://www.tiktok.com/@quanngondalat/video/7446651507530845447
3,7,Greedy 3D,Cơm Trưa,chợ quán,20:56,20:56,21:39,False,0.6571588559054912,4.9,0.3229,"14bis Đường Mai Hoa Thôn, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",https://www.tiktok.com/@du_lich_dalat/video/7514631840213454088
3,8,Greedy 3D,Primavera Italian Restaurant,cafe,20:58,20:58,21:58,False,0.8497998416069628,4.3,0.3033,"54/7 Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@avokliv/video/7617686854049058070
3,9,Greedy 3D,Chợ đêm, chợ quán,20:59,20:59,21:54,False,0.42107280821188237,4.2,0.4066,"Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@callmevyvo/video/7359542199014493448
3,10,Greedy 3D,Tiệm Trà Phụng,cafe,21:03,21:03,22:03,False,2.384323063942004,4.2,0.2527,"Hẻm 59 Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@mylinhcute510/video/7634547284160122132
4,1,Greedy 3D,Cafe mới,cafe,07:00,08:00,09:00,True,0.0,4.5,0.4469,"59 Nguyễn Trãi, Lâm Viên - Đà Lạt, Lâm Đồng 66111, Việt Nam",https://www.tiktok.com/@bolonton_/video/7461468993396706567
4,2,Greedy 3D,Quán cà phê tone đen,cafe,09:01,09:01,10:01,True,0.7870644977469812,4.6,0.3426,"15A Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@chillwithvyuyennn/video/7324239184787541256
4,3,Greedy 3D,Tiệm Cafe Nhớ Hoài,cafe,10:02,10:02,11:02,True,0.3017132745275522,4.8,0.2955,"9 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@langthanglk/video/7552701224886275336
4,4,Greedy 3D,Bún bò Huế Thiên Trang,chợ quán,11:02,11:02,11:50,True,0.3118336929438765,3.6,0.3396,"2b Hồ Tùng Mậu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@mr.cunghe/video/7129358708542393627
4,5,Greedy 3D,Maze Bar,cafe,11:53,11:53,12:53,True,1.2731156098313405,4.6,0.5127,"57 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@koinamang/video/7473110759875153159
