day,stop,method,name,type,arrive,start_visit,end_visit,feasible,dist_km,rating,attraction_score,address,video_url
1,1,Greedy,Sân Mây Đà Lạt,cafe,07:00,07:00,08:00,True,0.0,4.7,0.7974,"56 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@review.lt7/video/7603371406423887125
1,2,Greedy,Soho Coffee Đà Lạt,cafe,08:00,08:00,09:00,True,0.41,4.9,0.3036,"21 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@julepe.sheen/video/7601887338511289608
1,3,Greedy,New Light Coffee,cafe,09:01,09:01,10:01,True,0.26,4.6,0.333,"3 bis Hoàng Hoa Thám, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@new_light_coffee/video/7505778560313920785
1,4,Greedy,Cafe Hot,cafe,10:03,10:03,11:03,True,1.14,4.5,0.3385,"59 Nguyễn Trãi, Lâm Viên - Đà Lạt, Lâm Đồng 66111, Việt Nam",https://www.tiktok.com/@yangho0910/video/7387663612401290517
1,5,Greedy,Quảng Trường Lâm Viên,địa điểm checkin,11:05,11:05,11:35,True,1.14,4.5,0.3893,"Đ. Trần Quốc Toản, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@myandangdoiban999/video/7587644118529101072
1,6,Greedy,Tiệm cơm Hồi Nớ,chợ quán,11:36,11:36,12:21,True,0.32,4.5,0.3155,"3B, 4 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nghiabiu.daily/video/7617051471355350292
1,7,Greedy,Lẩu gà lá é Tạo Ngộ,chợ quán,12:21,12:21,13:06,True,0.21,4.0,0.2965,"4A/5 Hẻm Cầu Đúc, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@sayhihuy/video/7350238587985726738
1,8,Greedy,Chợ đêm,chợ quán,13:09,17:30,18:15,True,1.19,4.2,0.3759,"Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@callmevyvo/video/7359542199014493448
1,9,Greedy,Chợ Đà Lạt,chợ quán,18:15,18:15,19:00,True,0.19,4.5,0.2951,"chợ Đà Lạt, 24 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng 02633, Việt Nam",https://www.tiktok.com/@ngotdichoi/video/7587357211525926164
1,10,Greedy,Quán cafe Đà Lạt,cafe,19:00,19:00,20:00,True,0.17,4.4,0.3266,"6 Khu Hoà Bình, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nhandian/video/7164729843039472922
1,11,Greedy,Cơm niêu,chợ quán,20:03,20:03,20:48,True,1.26,4.8,0.354,"35-37 Đinh Tiên Hoàng, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",https://www.tiktok.com/@tiemcomnieunhala/video/7344170952231570708
1,12,Greedy,Đôi Đũa Có Cơm Niêu,quán ăn,20:49,20:49,21:34,False,0.86,4.8,0.32,"96 Đường Phù Đổng Thiên Vương, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@doiduadalat/video/7503154580214091016
1,13,Greedy,Quán lẩu cá tầm,chợ quán,20:52,20:52,21:37,False,1.34,4.8,0.3272,"Khu quy hoạch/Lô 75 Nguyễn Công Trứ, Xuân Hương - Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@nhandian/video/7580740804403039496
