place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score
Cafe May,cafe,11,338164,9385000,381100,50xu,https://www.tiktok.com/@review.lt7/video/7603371406423887125,7,1386.66
San May Dalat,cafe,4,313133,6317600,111100,,https://www.tiktok.com/@dalat_reels/video/7501203500332797202,4,984.89
Cafe ngắm hoàng hôn,cafe,1,140500,7500000,222100,,https://www.tiktok.com/@dichoimoingay/video/7357193741779651848,1,900.5
Suối Bình Yên,thiên nhiên,2,256400,6185200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,2,894.92
Homestay,homestay,1,185600,5300000,42900,,https://www.tiktok.com/@dihetdalat/video/7437476244918127890,0,725.6
Lang Ben Pho Homestay,homestay,1,128000,5400000,35000,,https://www.tiktok.com/@langbenphohomestay/video/7550132232485195015,1,678.0
Sương Mù,thiên nhiên,1,104700,5400000,929,,https://www.tiktok.com/@bthh1512/video/7634149614224002312,1,654.7
San May,cafe,4,193100,3470800,245400,,https://www.tiktok.com/@min.du.mc/video/7584709735153274113,3,580.18
Miền Du Mục,cafe,3,326735,2217100,146700,"100,000 VND ($3.80)",https://www.tiktok.com/@ericgoesto/video/7523077765306895646,3,578.45
Quán cafe mới toanh,cafe,1,138100,3900000,40300,,https://www.tiktok.com/@shundidau_/video/7634556893003861268,0,538.1
Happy Hill,địa điểm checkin,1,119400,4000000,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7569189293630016786,1,529.4
Quán Cà Phê Mây,cafe,4,79301,3901400,252100,,https://www.tiktok.com/@dao_duy_phuong/video/7590979517661940999,3,509.44
Dom Dom House Dalat,homestay,1,68600,4100000,19500,,https://www.tiktok.com/@domdomhousedalat/video/7502706387995102485,1,488.6
Cơm Lam Gà Nướng (Suối Bình Yên),chợ quán,1,61600,3600000,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7493127305120845064,1,431.6
Nha Ben Rung,cafe,1,258700,1600000,216100,,https://www.tiktok.com/@tiemcaphenhabenrung/video/7493504577296223496,1,428.7
Cafe mới ở Đà Lạt,cafe,1,84800,2500000,222100,,https://www.tiktok.com/@dichoimoingay/video/7433661696608128264,0,344.8
Villa Dalat,homestay,3,75200,2315400,69600,700฿/đêm | giá rẻ,https://www.tiktok.com/@nguamodalat/video/7577374212168486165,3,336.74
Cau Gò Binh Minh,thiên nhiên,1,64400,2600000,33100,,https://www.tiktok.com/@sanmaycaugo_binhminh/video/7509742123164470546,1,334.4
Happy Hill Đà Lạt,địa điểm checkin,9,55690,1745287,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7638534135786654997,9,320.22
Thác Đá An Lạc,thiên nhiên,1,91100,2000000,3811,,https://www.tiktok.com/@empekhavy/video/7614415503121075463,1,301.1
Silk Oil,khách sạn,1,137300,1500000,790200,,https://www.tiktok.com/@_trinhhavi_/video/7574400141726125330,1,297.3
Quán Cafe cạnh bến xe Liên Tỉnh Đà Lạt,cafe,1,81000,1700000,268000,,https://www.tiktok.com/@dicungmuadl/video/7502732506345557255,1,261.0
Lang Farm Center,địa điểm checkin,1,38600,2100000,242500,,https://www.tiktok.com/@du_lich_dalat/video/7508576445141208338,1,258.6
Thác Đa Tán,thiên nhiên,2,78395,1341900,721,,https://www.tiktok.com/@lttngan_207/video/7609482878841343252,2,232.58
Cafe Mây,cafe,3,48013,1532500,789800,,https://www.tiktok.com/@nhandian/video/7635214351682522388,3,231.26
