place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score
Cafe ngắm hoàng hôn,cafe,1,140500,7500000,221900,,https://www.tiktok.com/@dichoimoingay/video/7357193741779651848,1,900.5
Happy Hill Đà Lạt,cafe | địa điểm checkin,3,143099,4527400,1300000,,https://www.tiktok.com/@c.long.happy.hill/video/7630151911307595016,3,625.84
Happy Hill,địa điểm checkin,3,127102,4195500,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7569189293630016786,3,576.65
Cafe May,cafe,5,62073,3541500,42900,,https://www.tiktok.com/@review.lt7/video/7603371406423887125,5,466.22
Cơm Lam Gà Nướng (Suối Bình Yên),địa điểm checkin,1,61600,3600000,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7493127305120845064,1,431.6
Cơm niêu,chợ quán,1,70100,2700000,9135,59K,https://www.tiktok.com/@tiemcomnieunhala/video/7344170952231570708,1,350.1
Quán cafe Đà Lạt,cafe,1,91400,2400000,789700,,https://www.tiktok.com/@nhandian/video/7164729843039472922,0,341.4
Café Mây,cafe,1,48600,2600000,25000,,https://www.tiktok.com/@spotly.asia/video/7254176332165287170,1,318.6
Cà phê mây Đà Lạt,cafe,1,48600,2600000,25000,,https://www.tiktok.com/@spotly.asia/video/7254176332165287170,1,318.6
Cà phê Đà Lạt,cafe,2,85131,1606955,33400,,https://www.tiktok.com/@lacaphee/video/7606900727604202759,1,265.83
Lang Farm Center,thiên nhiên,1,38700,2100000,242500,,https://www.tiktok.com/@du_lich_dalat/video/7508576445141208338,1,258.7
New Light Coffee,cafe,1,58100,1800000,9934,,https://www.tiktok.com/@new_light_coffee/video/7505778560313920785,1,248.1
Hồ Xuân Hương,thiên nhiên,2,59350,1663200,5000000,,https://www.tiktok.com/@dalatcham/video/7369038025763867922,2,245.67
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,1,239.5
Quán cà phê mây,cafe,4,24378,1370761,42900,,https://www.tiktok.com/@dihetdalat/video/7537670988738137351,2,201.45
Cầu Treo Đa Nhim,địa điểm checkin,1,48800,1400000,5224,,https://www.tiktok.com/@quangdalatstudio/video/7343623713016925448,1,198.8
Thác Mây,thiên nhiên,1,22900,1100000,26700,,https://www.tiktok.com/@thacmay/video/7550279164360690962,1,142.9
Homestay A,homestay,1,26800,994300,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.23
Homestay B,homestay,1,26800,994300,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.23
Homestay C,homestay,1,26800,994300,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.23
Homestay D,homestay,1,26800,994300,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.23
Tiệm Cơm Niêu,chợ quán,1,13700,1100000,9135,59K,https://www.tiktok.com/@tiemcomnieunhala/video/7374044494146145544,1,133.7
Cafe Mây,cafe,1,25000,957200,214600,,https://www.tiktok.com/@hifasne/video/7464246800178810120,0,130.72
Vị Nhà,nhà hàng,3,26574,546198,586,,https://www.tiktok.com/@vinhatiemcomdalat/video/7631789139515428114,2,111.19
Quán cafe tone đen siêu xịn sò,cafe,1,20600,783600,221900,,https://www.tiktok.com/@dichoimoingay/video/7333087546748030215,0,108.96
Nhà hàng thiên đường,nhà hàng,1,14700,840800,42900,,https://www.tiktok.com/@dihetdalat/video/7537670988738137351,0,108.78
Cafe Sân Mây,cafe,1,43400,442700,1680,,https://www.tiktok.com/@caphengamruongbacthang/video/7591847193686854930,1,97.67
Viện Madera Đà Lạt,cafe,1,9376,736600,221900,,https://www.tiktok.com/@dichoimoingay/video/7212926517788167451,1,93.04
Cafe View Đẹp,cafe,1,15300,633300,1366,,https://www.tiktok.com/@360do_dalat/video/7584663801522375957,0,88.63
Tiệm trà mới mở,cafe,1,28700,466800,14600,,https://www.tiktok.com/@thaodimuonnoi/video/7634755846488050964,0,85.38
Cơm Gà Cơm Gia Đình,chợ quán,1,16100,566100,242400,,https://www.tiktok.com/@du_lich_dalat/video/7388817194697755912,0,82.71
Quán Cà Phê View,cafe,1,5080,602500,5777,,https://www.tiktok.com/@smiletuan/video/7171762443759275290,1,75.33
Cafe săn mây Đà Lạt,cafe,1,12600,516900,10600,,https://www.tiktok.com/@review.lt7/video/7601839891789532437,1,74.29
Cafe Lời Của Gió,cafe,1,4752,580000,70600,,https://www.tiktok.com/@julepe.sheen/video/7371685175857564946,1,72.75
Soho Coffee Đà Lạt,cafe,1,9119,486100,70600,,https://www.tiktok.com/@julepe.sheen/video/7601887338511289608,1,67.73
Coffee View Rừng Thông,cafe,1,9035,455300,242400,,https://www.tiktok.com/@du_lich_dalat/video/7370584944269184257,1,64.56
3 Quán Cafe View Siêu Đỉnh,địa điểm checkin,1,4056,479000,263300,,https://www.tiktok.com/@ghiendalat_official/video/7260308599430204673,0,61.96
155ca,cafe,1,17900,338900,1591,,https://www.tiktok.com/@vuongtong_1/video/7634451004020444423,1,61.79
Tiệm cơm phần siêu ngon,khác,1,8410,423600,207700,hơi bị rẻ,https://www.tiktok.com/@didalatcungtruc/video/7104962108843887899,1,60.77
Hoàng Hôn,địa điểm checkin,1,18300,319900,424400,,https://www.tiktok.com/@hachireview74/video/7460073643004022034,0,60.29
Cà phê Happy Hill,cafe,1,10300,364300,176200,,https://www.tiktok.com/@hongphuonghoteldalat42/video/7588448993714228481,1,56.73
Khách sạn đáng thử gần trung tâm Đà Lạt,khách sạn,1,6996,354200,42900,,https://www.tiktok.com/@dihetdalat/video/7515412014664043783,0,52.42
Quán Cơm Trưa Với Các Món Ăn Đặc Sản Của Người Đồng Bào,chợ quán,1,6023,354500,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7514631840213454088,1,51.47
Quán Cơm Linh,chợ quán,1,13700,265000,12300,,https://www.tiktok.com/@quancomlinhdalat/video/7575476880564817159,1,50.2
Xưởng Kem Hoa,cafe,1,7810,323100,1332,,https://www.tiktok.com/@checkindalat24h/video/7579053153572736263,1,50.12
Happy Hill Coffee,cafe,3,3733,154041,50200,,https://www.tiktok.com/@namkinhcan3004/video/7611041529456610568,3,49.14
Quán cafe mới toanh,cafe,1,7442,304500,204600,,https://www.tiktok.com/@dalatplusss/video/7382100288749980935,0,47.89
Cafe treo trên sườn đồi,cafe,1,2573,272500,51900,,https://www.tiktok.com/@bolonton_/video/7483739997804236040,1,39.82
Đà Lạt,thiên nhiên,2,2392,173300,124100,,https://www.tiktok.com/@quocthinh.officiall/video/7386146938405702919,1,39.72
Quán Cafe Vibe Hàn,cafe,1,7690,209300,4925,,https://www.tiktok.com/@mee.dalat/video/7616305515848551700,1,38.62
Dieu Thong Hotel,khách sạn,1,6809,168100,200300,,https://www.tiktok.com/@tuthoreview/video/7397796407630908679,1,33.62
Workspace Coffee,cafe,1,6567,169000,4264,,https://www.tiktok.com/@daladala247/video/7621603884275993864,1,33.47
Cơm Tấm Ngon Rẻ,chợ quán,1,6183,169300,51500,ngon rẻ,https://www.tiktok.com/@xalachtrondaugiam/video/7562106189757156616,1,33.11
Cafe view lồng đèn,cafe,1,4040,188500,42900,,https://www.tiktok.com/@dihetdalat/video/7569585622667644178,1,32.89
Dalat Cafe,cafe,3,1090,17598,14000,mid,https://www.tiktok.com/@tiktokmadejasdoit/video/7636136839123832078,1,32.85
