day,stop,method,name,type,arrive,start_visit,end_visit,feasible,dist_km,rating,attraction_score,address,video_url
1,1,SA_Phase2,Cầu Gỗ Bình Minh Coffee,cafe,07:00,07:00,08:00,True,0.0,4.6,0.7077,"Đồi chè, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@du_lich_dalat/video/7327471583943986433
1,2,SA_Phase2,Hoa Cẩm Tú Cầu,cafe,08:17,08:17,09:17,True,8.94834186751999,4.3,0.3038,"Đường Tập Đoàn 7, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ama.vietnam.blog/video/7613373066021735687
1,3,SA_Phase2,Tiệm cà phê Hoàng Hôn Chiều,cafe,09:19,09:19,10:19,True,0.8516262513082821,4.1,0.2634,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@onenightstation/video/7551067372229102866
1,4,SA_Phase2,Miền Du Mục,cafe,10:24,10:24,11:24,True,2.5083413282255154,4.3,0.279,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ericgoesto/video/7523077765306895646
1,5,SA_Phase2,Nướng,chợ quán,11:30,11:30,12:13,True,2.9710672298791656,4.8,0.4043,"28 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@gowith_we/video/7447126428484685074
1,6,SA_Phase2,Bún bò Huế Thiên Trang,chợ quán,12:16,12:16,13:04,True,1.3344098394544655,3.6,0.3396,"2b Hồ Tùng Mậu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@mr.cunghe/video/7129358708542393627
1,7,SA_Phase2,Chợ đêm, chợ quán,13:06,17:30,18:25,True,1.0712465310955894,4.2,0.4066,"Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@callmevyvo/video/7359542199014493448
1,8,SA_Phase2,Al Dente,nhà hàng,18:29,18:29,19:29,True,2.4183976818778756,5.0,0.2496,"49/23/3, Đ. Phạm Hồng Thái, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@omsaonoi/video/7496113004753423624
2,1,SA_Phase2,3 tiệm cà phê viral ở Đà Lạt,cafe,07:00,07:30,08:30,True,0.0,4.5,0.3182,"116 Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@nhandian/video/7635214351682522388 | https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165
2,2,SA_Phase2,Dưới tán anh đào,cafe,08:30,08:30,09:30,True,0.3535699359753486,4.5,0.3174,"29B Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66118, Việt Nam",https://www.tiktok.com/@duoitananhdao/video/7639696857463131400
